filename,text
The cat sat on the mat.mp3,The cat sat on the mat.
She cooks eggs in a pan.mp3,She cooks eggs in a pan.
She has a safety pin.mp3,She has a safety pin.
I sip water.mp3,I sip water.
The baby takes a nap.mp3,The baby takes a nap.
He has a brown tan.mp3,He has a brown tan.
Cookies are in the tin.mp3,Cookies are in the tin.
He fell into a pit.mp3,He fell into a pit.
The tree has sticky sap.mp3,The tree has sticky sap.
I see an ant on the ground.mp3,I see an ant on the ground.
I write with my pen.mp3,I write with my pen.
He is a tall man.mp3,He is a tall man.
The hen lays eggs.mp3,The hen lays eggs.
I wear a red cap.mp3,I wear a red cap.
She looked at the map to find the zoo.mp3,She looked at the map to find the zoo.
I love my pet dog.mp3,I love my pet dog.
The boy is mad.mp3,The boy is mad.
She brings her art kit.mp3,She brings her art kit.
I eat ham and eggs.mp3,I eat ham and eggs.
I open the cam.mp3,I open the cam.
The apple is red.mp3,The apple is red.
The dog barked at the stranger.mp3,The dog barked at the stranger.
The sun is shining brightly today.mp3,The sun is shining brightly today.
A bug crawled on the table.mp3,A bug crawled on the table.
"The soup is very hot, be careful.mp3","The soup is very hot, be careful!"
The fat cat slept all day.mp3,The fat cat slept all day.
She put on pink lipstick on her lip.mp3,She put on pink lipstick on her lip.
He lit a candle when it got dark.mp3,He lit a candle when it got dark.
I found a price tag on the shirt.mp3,I found a price tag on the shirt.
She led the team to victory.mp3,She led the team to victory.
They ban plastic bags in this store.mp3,They ban plastic bags in this store.
I use an umbrella in the rain.mp3,I use an umbrella in the rain.
Dad hits the nail with a hammer.mp3,Dad hits the nail with a hammer.
The dog has a long tail.mp3,The dog has a long tail.
She eats a big cake.mp3,She eats a big cake.
Mom will bake a pie.mp3,Mom will bake a pie.
We swim in the lake.mp3,We swim in the lake.
The cow eats hay.mp3,The cow eats hay.
I will pay for the book.mp3,I will pay for the book.
I want to say hello.mp3,I want to say hello.
Don't be sad if you fail.mp3,Don't be sad if you fail.
I like strawberry jam.mp3,I like strawberry jam.
The jet flies fast.mp3,The jet flies fast.
She drinks milk from a jug.mp3,She drinks milk from a jug.
I got a jab at the clinic.mp3,I got a jab at the clinic.
The kids did a funny jig.mp3,The kids did a funny jig.
I will jot down your name.mp3,I will jot down your name.
A jay is a blue bird.mp3,A jay is a blue bird.
He is in jail now.mp3,He is in jail now.
My dad has a new job.mp3,My dad has a new job.
She has a green jade ring.mp3,She has a green jade ring.
The goat is eating grass.mp3,The goat is eating grass.
We ride a boat on the lake.mp3,We ride a boat on the lake.
She washes her hands with soap.mp3,She washes her hands with soap.
He eats ice cream in a cone.mp3,He eats ice cream in a cone.
The dog chews a bone.mp3,The dog chews a bone.
I go home after school.mp3,I go home after school.
I put rice in a bowl.mp3,I put rice in a bowl.
I will mow the grass today.mp3,I will mow the grass today.
The sun is low in the sky.mp3,The sun is low in the sky.
He pulls the rope hard.mp3,He pulls the rope hard.
I tie my shoes.mp3,I tie my shoes.
She eats a pie.mp3,She eats a pie.
Flowers die without water.mp3,Flowers die without water.
The sky is blue.mp3,The sky is blue.
Babies cry when they are hungry.mp3,Babies cry when they are hungry.
I ride my bike to school.mp3,I ride my bike to school.
The bird flies high.mp3,The bird flies high.
Turn on the light.mp3,Turn on the light.
This is my new ride.mp3,This is my new ride.
You are right.mp3,You are right!
Wash your feet.mp3,Wash your feet.
I like beef and rice.mp3,I like beef and rice.
My heel hurts.mp3,My heel hurts.
I want to eat a banana.mp3,I want to eat a banana.
This is your seat.mp3,This is your seat.
We swim in the sea.mp3,We swim in the sea.
She plants a seed in the soil.mp3,She plants a seed in the soil.
A gene comes from your parents.mp3,A gene comes from your parents.
Please delete that file.mp3,Please delete that file.
The party has a fun theme.mp3,The party has a fun theme.
Use a fork to eat noodles.mp3,Use a fork to eat noodles.
Please fill out this form.mp3,Please fill out this form.
I like sweet corn.mp3,I like sweet corn.
He hurt his jaw.mp3,He hurt his jaw.
We must follow the law.mp3,We must follow the law.
He kicked the ball.mp3,He kicked the ball.
The picture is on the wall.mp3,The picture is on the wall.
I will call you later.mp3,I will call you later.
It was not your fault.mp3,It was not your fault.
Paul is my friend.mp3,Paul is my friend.
I pull the zip on my bag.mp3,I pull the zip on my bag.
The dog will wag its tail.mp3,The dog will wag its tail.
The king sits on the throne.mp3,The king sits on the throne.
I saw a light zap in the game.mp3,I saw a light zap in the game.
She wears a red wig.mp3,She wears a red wig.
The rope is very long.mp3,The rope is very long.
I found a ring on the floor.mp3,I found a ring on the floor.
We heard a loud bang outside.mp3,We heard a loud bang outside.
My shirt is wet from the rain.mp3,My shirt is wet from the rain.
The bee makes a buzz sound.mp3,The bee makes a buzz sound.
This is my favorite book.mp3,This is my favorite book.
The table is made of wood.mp3,The table is made of wood.
I like to eat good food.mp3,I like to eat good food.
The moon is bright tonight.mp3,The moon is bright tonight.
We went to the zoo today.mp3,We went to the zoo today.
The tree has a big root.mp3,The tree has a big root.
I help my mom cook rice.mp3,I help my mom cook rice.
Hang your bag on the hook.mp3,Hang your bag on the hook.
I hurt my foot.mp3,I hurt my foot.
The cat is on the roof.mp3,The cat is on the roof.
The vet helps sick pets.mp3,The vet helps sick pets.
Dad drives a van.mp3,Dad drives a van.
Loud noise can vex me.mp3,Loud noise can vex me.
I eat a yam for lunch.mp3,I eat a yam for lunch.
Dogs often yap when excited.mp3,Dogs often yap when excited.
"Yes, I like apples.mp3","Yes, I like apples."
She is six years old.mp3,She is six years old.
I will fix my toy.mp3,I will fix my toy.
I will mix the colors.mp3,I will mix the colors.
The cat is in the box.mp3,The cat is in the box.
I eat one chip.mp3,I eat one chip.
They chat after school.mp3,They chat after school.
Dad will chop the wood.mp3,Dad will chop the wood.
He has a strong chin.mp3,He has a strong chin.
She pays with cash.mp3,She pays with cash.
The ship sails on the sea.mp3,The ship sails on the sea.
We go to the shop.mp3,We go to the shop.
He bumped his shin.mp3,He bumped his shin.
She took a good shot.mp3,She took a good shot.
He has a rash on his arm.mp3,He has a rash on his arm.
She has a long lash.mp3,She has a long lash.
The book is very thick.mp3,The book is very thick.
I see three birds.mp3,I see three birds.
This is my pen.mp3,This is my pen.
I like that toy.mp3,I like that toy.
The paper is thin.mp3,The paper is thin.
I like all of them.mp3,I like all of them.
"We eat, then we play.mp3","We eat, then we play."
I play with my friend.mp3,I play with my friend.
I take a bath every night.mp3,I take a bath every night.
I am good at math.mp3,I am good at math.
A moth flew to the light.mp3,A moth flew to the light.
I want these toys.mp3,I want these toys.
Put your things away.mp3,Put your things away.
I took a quiz at school.mp3,I took a quiz at school.
Please be quiet in class.mp3,Please be quiet in class.
Grandma made a quilt.mp3,Grandma made a quilt.
I saw a quill on the table.mp3,I saw a quill on the table.
He wants to quit the game.mp3,He wants to quit the game.
We go on a quest for treasure.mp3,We go on a quest for treasure.
The queen wears a crown.mp3,The queen wears a crown.
He gave a quick answer.mp3,He gave a quick answer.
The duck says quack.mp3,The duck says quack.
Quin is my friend.mp3,Quin is my friend.
An owl sits on the tree.mp3,An owl sits on the tree.
A fowl walks near the farm.mp3,A fowl walks near the farm.
He fell down the hill.mp3,He fell down the hill.
We live in a small town.mp3,We live in a small town.
The cow eats grass.mp3,The cow eats grass.
A big cloud is in the sky.mp3,A big cloud is in the sky.
The music is too loud.mp3,The music is too loud.
Can you count to ten.mp3,Can you count to ten?
The ball is round.mp3,The ball is round.
This is my house.mp3,This is my house.
I sit on the couch.mp3,I sit on the couch.
The wolf likes to howl.mp3,The wolf likes to howl.
Open your mouth wide.mp3,Open your mouth wide.
The cat ran out the door.mp3,The cat ran out the door.
The kangaroo has a pouch.mp3,The kangaroo has a pouch.
Birds fly south in winter.mp3,Birds fly south in winter.
I put oil in the pan.mp3,I put oil in the pan.
He found a coin on the ground.mp3,He found a coin on the ground.
I will boil the eggs.mp3,I will boil the eggs.
The plant grows in the soil.mp3,The plant grows in the soil.
Wrap the food in foil.mp3,Wrap the food in foil.
The boy is playing.mp3,The boy is playing.
She smiled with joy.mp3,She smiled with joy.
This is my new toy.mp3,This is my new toy.
The royal crown is gold.mp3,The royal crown is gold.
Dogs are loyal pets.mp3,Dogs are loyal pets.
I found a clue in the game.mp3,I found a clue in the game.
She used glue to fix the paper.mp3,She used glue to fix the paper.
He wears a blue shirt.mp3,He wears a blue shirt.
The story is true.mp3,The story is true.
She drew a cat.mp3,She drew a cat.
The bird flew away.mp3,The bird flew away.
The wind blew hard.mp3,The wind blew hard.
Don't be rude to others.mp3,Don't be rude to others.
School starts in June.mp3,School starts in June.
Follow the rule.mp3,Follow the rule.
The river flows fast.mp3,The river flows fast.
A fern grows near the tree.mp3,A fern grows near the tree.
They serve food at the table.mp3,They serve food at the table.
A bird is in the sky.mp3,A bird is in the sky.
The girl plays with her doll.mp3,The girl plays with her doll.
"Sir, please sit here.mp3","Sir, please sit here."
There is dirt on my shoe.mp3,There is dirt on my shoe.
She has a nice curl in her hair.mp3,She has a nice curl in her hair.
The cat has soft fur.mp3,The cat has soft fur.
The road has a sharp curve.mp3,The road has a sharp curve.
I hear the birds chirp.mp3,I hear the birds chirp.
A herd of cows is in the field.mp3,A herd of cows is in the field.
I hurt my knee.mp3,I hurt my knee.
She got a perm at the salon.mp3,She got a perm at the salon.
He wears a red shirt.mp3,He wears a red shirt.
We play on the turf.mp3,We play on the turf.
It is your turn now.mp3,It is your turn now.
I hurt my arm.mp3,I hurt my arm.
He eats a bar of chocolate.mp3,He eats a bar of chocolate.
I like to do art at school.mp3,I like to do art at school.
She drinks juice from a jar.mp3,She drinks juice from a jar.
Dad drives a car.mp3,Dad drives a car.
The animals went into the ark.mp3,The animals went into the ark.
It is dark at night.mp3,It is dark at night.
Dogs bark at strangers.mp3,Dogs bark at strangers.
I got a birthday card.mp3,I got a birthday card.
We play at the park.mp3,We play at the park.
The star is very far.mp3,The star is very far.
I got a good mark on my test.mp3,I got a good mark on my test.
A shark swims in the sea.mp3,A shark swims in the sea.
The road is made of tar.mp3,The road is made of tar.
